date,LST_Day_1km_mean
2000-02-01,286.04202857664154
2000-03-01,294.8383616510197
2000-04-01,308.9750765847122
2000-05-01,314.4490623582669
2000-06-01,319.2480341055826
2000-07-01,320.2379274092224
2000-08-01,318.8938196090011
2000-09-01,308.46961583444335
2000-10-01,294.0216746453163
2000-11-01,282.16216024697434
2000-12-01,279.34809138028174
2001-01-01,273.73640981697116
2001-02-01,280.30795703137517
2001-03-01,296.2814386209895
2001-04-01,306.18239316854914
2001-05-01,316.04638253494124
2001-06-01,317.45273987724613
2001-07-01,318.7544528605302
2001-08-01,316.079579993476
2001-09-01,307.49936610731083
2001-10-01,294.6601798534937
2001-11-01,284.8619231600647
2001-12-01,276.53233478556103
2002-01-01,278.4558008676599
2002-02-01,282.6545935264503
2002-03-01,291.5194356251766
2002-04-01,298.4968407585161
2002-05-01,307.6896891370484
2002-06-01,316.3007847474868
2002-07-01,319.4684376368469
2002-08-01,316.69599197738034
2002-09-01,309.5873251600392
2002-10-01,300.18625668714117
2002-11-01,287.92347929909107
2002-12-01,268.0298550920559
2003-01-01,274.5785969847775
2003-02-01,277.3610772518778
2003-03-01,287.3446801282523
2003-04-01,298.54520967198545
2003-05-01,307.68438209238354
2003-06-01,314.8145613656975
2003-07-01,317.5459530236359
2003-08-01,318.10853722982534
2003-09-01,307.3733927052803
2003-10-01,299.9684696607378
2003-11-01,284.05896842787666
2003-12-01,276.2744858139328
2004-01-01,277.447128961561
2004-02-01,284.55784269799227
2004-03-01,294.2017311443681
2004-04-01,304.97970189585965
2004-05-01,312.6160044821018
2004-06-01,319.18876991665957
2004-07-01,317.6053294529837
2004-08-01,316.1623243911294
2004-09-01,309.6721378398312
2004-10-01,296.0696513027335
2004-11-01,286.1629913074662
2004-12-01,274.5887120865895
2005-01-01,272.8099904189284
2005-02-01,277.34870813517676
2005-03-01,293.21629790292434
2005-04-01,305.9220306580194
2005-05-01,312.96220614274137
2005-06-01,319.70746108071296
2005-07-01,319.57818406645185
2005-08-01,316.3800692329206
2005-09-01,309.8760036742096
2005-10-01,298.64002075476594
2005-11-01,287.7677951035333
2005-12-01,277.7099815468534
2006-01-01,265.66607989234245
2006-02-01,281.81574694183115
2006-03-01,294.9834608638977
2006-04-01,305.61575401670115
2006-05-01,313.50605058383917
2006-06-01,320.0119740691261
2006-07-01,318.89420239648535
2006-08-01,317.6384173194637
2006-09-01,308.62647456407564
2006-10-01,298.8888673592996
2006-11-01,283.8811192831879
2006-12-01,274.60276130767306
2007-01-01,275.84127045342893
2007-02-01,282.1810212804061
2007-03-01,292.7034914165256
2007-04-01,302.9736311614478
2007-05-01,312.80278929709885
2007-06-01,319.62701953315855
2007-07-01,320.16324162367476
2007-08-01,317.9552870997524
2007-09-01,308.0409992702114
2007-10-01,299.3545667177487
2007-11-01,287.41160518086036
2007-12-01,271.8389676129927
2008-01-01,261.2740383463503
2008-02-01,273.96668645484795
2008-03-01,297.9708640279149
2008-04-01,305.96314083449505
2008-05-01,314.47579554252883
2008-06-01,319.15012466262607
2008-07-01,321.24410273268444
2008-08-01,317.4399590781735
2008-09-01,307.24590198644034
2008-10-01,296.9025073238426
2008-11-01,286.31150861421327
2008-12-01,277.11567432681846
2009-01-01,272.60999760702504
2009-02-01,282.0626667641346
2009-03-01,294.4737181652554
2009-04-01,299.60802907345044
2009-05-01,310.3766939236409
2009-06-01,318.34768410980166
2009-07-01,320.0140696001405
2009-08-01,315.43844850436426
2009-09-01,307.6887508297527
2009-10-01,298.9359870906062
2009-11-01,286.58758666100084
2009-12-01,276.0489382759544
2010-01-01,275.15537443822103
2010-02-01,275.0904888750359
2010-03-01,293.2390333381606
2010-04-01,304.426833672326
2010-05-01,311.39841261929354
2010-06-01,320.0307117936015
2010-07-01,318.9437033646421
2010-08-01,317.9453289933858
2010-09-01,308.54215194095116
2010-10-01,299.3550794588618
2010-11-01,290.264993416691
2010-12-01,280.69365899115166
2011-01-01,274.89318259343366
2011-02-01,275.75530654349734
2011-03-01,293.6249160387158
2011-04-01,305.5596026841222
2011-05-01,314.6152080852168
2011-06-01,319.2171321538492
2011-07-01,321.033957715053
2011-08-01,317.07488712573405
2011-09-01,308.37451648969756
2011-10-01,298.71195365661197
2011-11-01,282.30067427425786
2011-12-01,272.804600361142
2012-01-01,270.52003407217705
2012-02-01,273.34719451994704
2012-03-01,288.65223193057744
2012-04-01,308.8281227382091
2012-05-01,314.33250555415003
2012-06-01,319.7158575089091
2012-07-01,319.6228981703902
2012-08-01,317.94483307167275
2012-09-01,308.5999894095307
2012-10-01,298.2281729154177
2012-11-01,284.41282628759853
2012-12-01,272.21252765704264
2013-01-01,273.8728091039987
2013-02-01,282.25086264265514
2013-03-01,295.16394102658916
2013-04-01,303.95295527064076
2013-05-01,313.5597772385617
2013-06-01,318.65062200976257
2013-07-01,320.2146812162217
2013-08-01,315.7327174548061
2013-09-01,309.7765198385976
2013-10-01,297.97645685386925
2013-11-01,288.55866603019024
2013-12-01,274.6126312892158
2014-01-01,271.3157709473428
2014-02-01,272.9331371998098
2014-03-01,292.10006762572135
2014-04-01,301.78314880116295
2014-05-01,315.41453101538167
2014-06-01,320.054772091782
2014-07-01,320.048858073488
2014-08-01,318.91664148405437
2014-09-01,307.7143373356212
2014-10-01,296.481282709511
2014-11-01,281.87953946092813
2014-12-01,277.3747306662437
2015-01-01,276.29114817389404
2015-02-01,282.3380156209114
2015-03-01,291.7499013347517
2015-04-01,303.9756484866006
2015-05-01,311.41123249074053
2015-06-01,321.0551013199054
2015-07-01,321.34995835914214
2015-08-01,316.42925357031487
2015-09-01,308.95054507426596
2015-10-01,293.4316350033544
2015-11-01,283.30732407459635
2015-12-01,278.3242918208454
2016-01-01,278.52783474398234
2016-02-01,285.8185647181786
2016-03-01,294.7644173613575
2016-04-01,303.7596149294845
2016-05-01,312.87635508196405
2016-06-01,318.03552113497824
2016-07-01,319.88410911110265
2016-08-01,317.6583516660444
2016-09-01,309.2879791085523
2016-10-01,292.9661324217088
2016-11-01,280.7134530013949
2016-12-01,276.87723126226194
2017-01-01,275.787949624444
2017-02-01,278.20023464906967
2017-03-01,291.98653397008474
2017-04-01,303.8812878451956
2017-05-01,313.4247620282773
2017-06-01,318.4900555115394
2017-07-01,320.89619953289997
2017-08-01,317.7559978584431
2017-09-01,308.19577641228796
2017-10-01,298.37822028380265
2017-11-01,288.3033053829731
2017-12-01,274.0941470375459
2018-01-01,275.05720652765126
2018-02-01,279.615965053232
2018-03-01,293.33994154798427
2018-04-01,304.5256165353527
2018-05-01,313.2515081022538
2018-06-01,319.34726953572243
2018-07-01,322.0242897592178
2018-08-01,316.22841398455915
2018-09-01,309.3780372608596
2018-10-01,297.6427563533987
2018-11-01,282.8871985844379
2018-12-01,276.4106553630278
2019-01-01,278.2357853901118
2019-02-01,282.6253048440978
2019-03-01,295.3251056553837
2019-04-01,302.31633589947177
2019-05-01,313.5730279094998
2019-06-01,319.6268624136574
2019-07-01,322.4863747896875
2019-08-01,315.7393561471992
2019-09-01,308.5052293357623
2019-10-01,300.90592426741705
2019-11-01,285.2710750738821
2019-12-01,279.7567492747733
2020-01-01,276.98420662911803
2020-02-01,284.4771895791621
2020-03-01,296.87254583991273
2020-04-01,305.2143877545515
2020-05-01,314.5028916448775
2020-06-01,320.96253849233096
2020-07-01,322.36070715751816
2020-08-01,317.03124787337805
2020-09-01,307.35813053883174
2020-10-01,298.17706797968447
2020-11-01,280.0862838471306
2020-12-01,274.26433683363297
2021-01-01,277.3366457838693
2021-02-01,286.3489866875057
2021-03-01,291.1142660218613
2021-04-01,307.7231225100785
2021-05-01,317.0903699839379
2021-06-01,322.2272661726891
2021-07-01,321.7677785429877
2021-08-01,318.42919302817194
2021-09-01,307.72581718746113
2021-10-01,297.1907317146038
2021-11-01,285.353292263385
2021-12-01,277.5949421420129
2022-01-01,274.8024438414012
2022-02-01,284.0631007295696
2022-03-01,292.02065140889204
2022-04-01,307.20761280485533
2022-05-01,312.2640276233242
2022-06-01,320.17907114527407
2022-07-01,320.70359993680455
2022-08-01,317.19737625572105
2022-09-01,308.48775569944195
2022-10-01,296.8662236984517
2022-11-01,286.69587186387923
